year,indicator,donor_code,donor_name,currency,prices,value
2022,total_oda_ge,1,Austria,USD,current,1847.06
2022,total_oda_ge,2,Belgium,USD,current,2656.53
2022,total_oda_ge,3,Denmark,USD,current,2770.91
2022,total_oda_ge,4,France,USD,current,16014.21
2022,total_oda_ge,5,Germany,USD,current,35640.06
2022,total_oda_ge,6,Italy,USD,current,6645.78
2022,total_oda_ge,7,Netherlands,USD,current,6469.96
2022,total_oda_ge,8,Norway,USD,current,5160.98
2022,total_oda_ge,9,Portugal,USD,current,522.75
2022,total_oda_ge,10,Sweden,USD,current,5457.97
2022,total_oda_ge,11,Switzerland,USD,current,4497.19
2022,total_oda_ge,12,United Kingdom,USD,current,15761.81
2022,total_oda_ge,18,Finland,USD,current,1615.62
2022,total_oda_ge,20,Iceland,USD,current,94.38
2022,total_oda_ge,21,Ireland,USD,current,2410.23
2022,total_oda_ge,22,Luxembourg,USD,current,530.12
2022,total_oda_ge,40,Greece,USD,current,360.44
2022,total_oda_ge,50,Spain,USD,current,4271.88
2022,total_oda_ge,61,Slovenia,USD,current,168.71
2022,total_oda_ge,68,Czech Republic,USD,current,1051.26
2022,total_oda_ge,69,Slovak Republic,USD,current,171.88
2022,total_oda_ge,75,Hungary,USD,current,371.28
2022,total_oda_ge,76,Poland,USD,current,3496.23
2022,total_oda_ge,84,Lithuania,USD,current,243.26
2022,total_oda_ge,301,Canada,USD,current,7835.68
2022,total_oda_ge,302,United States,USD,current,60522.41
2022,total_oda_ge,701,Japan,USD,current,17499.94
2022,total_oda_ge,742,Korea,USD,current,2809.54
2022,total_oda_ge,801,Australia,USD,current,3045.98
2022,total_oda_ge,820,New Zealand,USD,current,515.23
