iso_code,Country,Data Date,Individual refugees from Ukraine recorded across Europe,Refugees from Ukraine registered for Temporary Protection or similar national protection schemes,Border crossings from Ukraine*,Border crossings to Ukraine**
RUS,Russian Federation***,26 September 2022,2772010,Not applicable,2772010,Data not available
POL,Poland,26 September 2022,1409139,1409139,6431533,4465934
SVK,Slovakia,27 September 2022,95375,95179,817350,554702
MDA,Republic of Moldova,27 September 2022,92443,Not applicable,627796,276096
ROU,Romania,18 September 2022,80498,67064,1246945,959826
HUN,Hungary,27 September 2022,30000,30000,1467441,Data not available
BLR,Belarus,26 September 2022,14219,Not applicable,16705,Data not available
ALB,Albania,27 September 2022,2780,Not applicable,,
ARM,Armenia,27 September 2022,489,Not applicable,,
AUT,Austria,27 September 2022,82446,82446,,
AZE,Azerbaijan,12 August 2022,4218,Not applicable,,
BEL,Belgium,26 September 2022,56464,55791,,
BIH,Bosnia and Herzegovina,27 September 2022,231,Not applicable,,
BGR,Bulgaria,27 September 2022,56734,136160,,
HRV,Croatia,26 September 2022,18328,18326,,
CYP,Cyprus,25 September 2022,13852,16481,,
CZE,Czech Republic,27 September 2022,439043,438926,,
DNK,Denmark,27 September 2022,35193,33161,,
EST,Estonia,26 September 2022,57257,35458,,
FIN,Finland,25 September 2022,38588,40339,,
FRA,France,26 September 2022,105000,105000,,
GEO,Georgia,18 September 2022,26135,Not applicable,,
DEU,Germany,24 September 2022,997895,709148,,
GRC,Greece,22 September 2022,19413,19413,,
ISL,Iceland,27 September 2022,1640,1640,,
IRL,Ireland,26 September 2022,49999,54826,,
ITA,Italy,27 September 2022,170646,157609,,
LVA,Latvia,26 September 2022,38915,40666,,
LIE,Liechtenstein,21 September 2022,306,306,,
LTU,Lithuania,27 September 2022,66368,66368,,
LUX,Luxembourg,20 September 2022,6561,6561,,
MLT,Malta,13 September 2022,1518,1420,,
MNE,Montenegro,20 September 2022,26745,6486,,
NLD,Netherlands,30 September 2022,79250,79250,,
MKD,North Macedonia,27 September 2022,5817,Not applicable,,
NOR,Norway,23 September 2022,27845,27845,,
PRT,Portugal,26 September 2022,52819,52724,,
SRB,Serbia,27 September 2022,19722,980,,
SVN,Slovenia,26 September 2022,8171,7768,,
ESP,Spain,25 September 2022,144668,144668,,
SWE,Sweden,23 September 2022,45895,45895,,
CHE,Switzerland,26 September 2022,65098,65098,,
TUR,Türkiye,19 May 2022,145000,Not applicable,,
GBR,United Kingdom,26 September 2022,131700,131700,,
