iso_code,Country,Data Date,Individual refugees from Ukraine recorded across Europe,Refugees from Ukraine registered for Temporary Protection or similar national protection schemes,Border crossings from Ukraine*,Border crossings to Ukraine**
RUS,Russian Federation***,30 August 2022,2414075,Not applicable,2414075,Data not available
POL,Poland,30 August 2022,1353338,1353338,5796748,3834530
SVK,Slovakia,30 August 2022,90612,90416,736387,474864
MDA,Republic of Moldova,30 August 2022,90525,Not applicable,591957,232313
ROU,Romania,28 August 2022,86178,55911,1127998,783091
HUN,Hungary,30 August 2022,29027,29027,1292632,Data not available
BLR,Belarus,30 August 2022,12505,Not applicable,16701,Data not available
ALB,Albania,23 August 2022,2780,Not applicable,,
ARM,Armenia,23 August 2022,489,Not applicable,,
AUT,Austria,30 August 2022,79728,79728,,
AZE,Azerbaijan,09 August 2022,4639,Not applicable,,
BEL,Belgium,30 August 2022,54414,53741,,
BIH,Bosnia and Herzegovina,14 August 2022,218,Not applicable,,
BGR,Bulgaria,30 August 2022,77114,131846,,
HRV,Croatia,30 August 2022,17487,17486,,
CYP,Cyprus,21 August 2022,13035,15343,,
CZE,Czech Republic,30 August 2022,423374,423202,,
DNK,Denmark,21 August 2022,33396,31396,,
EST,Estonia,23 August 2022,51501,32627,,
FIN,Finland,21 August 2022,36652,36652,,
FRA,France,09 August 2022,96520,96520,,
GEO,Georgia,30 August 2022,26379,Not applicable,,
DEU,Germany,30 August 2022,971000,670000,,
GRC,Greece,23 August 2022,18745,18745,,
ISL,Iceland,23 August 2022,1500,1500,,
IRL,Ireland,29 August 2022,46481,50423,,
ITA,Italy,30 August 2022,159968,153968,,
LVA,Latvia,22 August 2022,36912,38406,,
LIE,Liechtenstein,17 August 2022,278,278,,
LTU,Lithuania,23 August 2022,63279,63279,,
LUX,Luxembourg,30 August 2022,6263,6263,,
MLT,Malta,30 August 2022,1459,1366,,
MNE,Montenegro,30 August 2022,24482,5975,,
NLD,Netherlands,05 July 2022,68050,68050,,
MKD,North Macedonia,17 August 2022,3296,Not applicable,,
NOR,Norway,19 August 2022,23912,23912,,
PRT,Portugal,10 August 2022,49718,49623,,
SRB,Serbia,30 August 2022,17458,939,,
SVN,Slovenia,30 August 2022,7279,7279,,
ESP,Spain,29 August 2022,139116,139022,,
SWE,Sweden,19 August 2022,44546,42713,,
CHE,Switzerland,22 August 2022,64053,59963,,
TUR,Türkiye,19 May 2022,145000,Not applicable,,
GBR,United Kingdom,30 August 2022,120600,120600,,
