iso_code,Country,Data Date,Individual refugees from Ukraine recorded across Europe,Refugees from Ukraine registered for Temporary Protection or similar national protection schemes,Border crossings from Ukraine*,Border crossings to Ukraine**
RUS,Russian Federation***,03 October 2022,2852395,Not applicable,2852395,Data not available
POL,Poland,11 October 2022,1436558,1436558,6782275,4798663
SVK,Slovakia,11 October 2022,97085,96889,851847,589528
MDA,Republic of Moldova,11 October 2022,94252,Not applicable,654357,295752
ROU,Romania,09 October 2022,82127,72285,1324244,1031434
HUN,Hungary,11 October 2022,30000,30000,1549304,Data not available
BLR,Belarus,11 October 2022,15580,Not applicable,16705,Data not available
ALB,Albania,11 October 2022,2622,Not applicable,,
ARM,Armenia,11 October 2022,489,Not applicable,,
AUT,Austria,10 October 2022,83684,83684,,
AZE,Azerbaijan,11 October 2022,3925,Not applicable,,
BEL,Belgium,11 October 2022,57423,56716,,
BIH,Bosnia and Herzegovina,09 October 2022,231,Not applicable,,
BGR,Bulgaria,11 October 2022,53057,138406,,
HRV,Croatia,11 October 2022,18619,18619,,
CYP,Cyprus,11 October 2022,13946,17058,,
CZE,Czech Republic,11 October 2022,442440,442259,,
DNK,Denmark,11 October 2022,35850,33818,,
EST,Estonia,10 October 2022,60002,36490,,
FIN,Finland,09 October 2022,38588,41222,,
FRA,France,26 September 2022,105000,105000,,
GEO,Georgia,11 October 2022,26793,Not applicable,,
DEU,Germany,04 October 2022,997895,709148,,
GRC,Greece,11 October 2022,19752,19752,,
ISL,Iceland,11 October 2022,1766,1766,,
IRL,Ireland,10 October 2022,51904,56965,,
ITA,Italy,27 September 2022,170646,157609,,
LVA,Latvia,11 October 2022,39561,41087,,
LIE,Liechtenstein,10 October 2022,325,325,,
LTU,Lithuania,11 October 2022,67793,67793,,
LUX,Luxembourg,11 October 2022,6756,6756,,
MLT,Malta,13 September 2022,1518,1420,,
MNE,Montenegro,04 October 2022,27576,6647,,
NLD,Netherlands,30 September 2022,79250,79250,,
MKD,North Macedonia,11 October 2022,6031,Not applicable,,
NOR,Norway,11 October 2022,29208,29208,,
PRT,Portugal,03 October 2022,52970,52875,,
SRB,Serbia,11 October 2022,20568,1012,,
SVN,Slovenia,11 October 2022,8255,7848,,
ESP,Spain,10 October 2022,147113,147113,,
SWE,Sweden,07 October 2022,46579,46579,,
CHE,Switzerland,10 October 2022,66252,66252,,
TUR,Türkiye,19 May 2022,145000,Not applicable,,
GBR,United Kingdom,03 October 2022,134200,134200,,
